"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg07419801",0.0927011704984805,0.283420714374787,3.81636637700587,0.000155019858704229,0.000180896200532914,-1.72832112592318,0.243753236766136,0.336454407264614,0.0927011704984784,"X",131157622,"F","I","MST4","5'UTR","island","5'UTR-island","chrX:131156818-131157775",TRUE,NA,"","rs56035648","","NO"
"cg21890239",0.0979649633537267,0.450850902244495,3.81469219867085,0.000156040134032787,0.000182061351914791,-1.73451557967898,0.408931010948948,0.506895974302672,0.097964963353724,"X",136509643,"F","I","","IGR","island","IGR-island","chrX:136509276-136509813",NA,NA,"","rs7888848","","NO"
"cg17757602",0.0764846420217212,0.160572509252495,3.8002299809096,0.000165121525196559,0.000192630250173447,-1.78791986920118,0.127844197317619,0.20432883933934,0.0764846420217204,"5",42952113,"F","I","","IGR","island","IGR-island","chr5:42951076-42952410",NA,NA,"","","","NO"
"cg24336989",0.0952671637501648,0.246421860553712,3.77385025437683,0.00018309227990786,0.000213535237519232,-1.88215840910814,0.205911057276773,NA,NA,"6",10385903,"F","I","","IGR","shore","IGR-shore","chr6:10383525-10384114",NA,TRUE,"","","","NO"
"cg24971873",0.0804844832610672,0.221414261009684,3.77113152208547,0.00018492650491067,0.000215644335849209,-1.89479560776979,0.186974389102624,0.267458872363689,0.0804844832610657,"X",74144705,"R","I","KIAA2022","5'UTR","island","5'UTR-island","chrX:74143852-74145176",TRUE,NA,"","","","NO"
"cg11230222",-0.0922495356779755,0.283119139249347,-3.76970373857513,0.000185953762798326,0.000216811965724664,-1.90001991192478,0.322593359167365,0.230343823489388,-0.0922495356779766,"17",40831789,"R","I","CCR10","Body","island","Body-island","chr17:40831682-40832452",NA,NA,"","","","NO"
"cg16579893",0.108527571761091,0.360186891605473,3.76520907684996,0.000189499259733875,0.000220914989647892,-1.91249280325279,NA,NA,NA,"1",24069514,"R","I","TCEB3","TSS1500","shore","TSS1500-shore","chr1:24069695-24070615",NA,NA,"","","","NO"
"cg05152874",0.0668812747697856,0.145324142200514,3.75741866201107,0.000195017697558318,0.000227316568355265,-1.94489479221404,0.116705178112979,0.183586452882763,0.0668812747697846,"X",50557122,"F","I","SHROOM4","TSS200","island","TSS200-island","chrX:50556224-50557179",TRUE,NA,"high-CpG:50573759-50573943","","","NO"
"cg07937239",-0.0572683403014258,0.0999766150583643,-3.75530995725299,0.00019661479225998,0.000229146201805227,-1.95258365672162,0.124482137419905,0.0672137971184786,-0.0572683403014262,"4",1004525,"R","I","FGFRL1","TSS1500","island","TSS1500-island","chr4:1003106-1005455",NA,TRUE,"","","","NO"
"cg08624915",-0.0967719199628132,0.723003777247606,-3.7500209615726,0.000200675007435475,0.000233845586848369,-1.97185085613149,0.764413156952625,0.667641236989808,-0.0967719199628164,"16",31538718,"F","II","AHSP","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","rs8046452","rs4889672","NO"
"cg10893095",-0.0935117151545241,0.308870437247061,-3.7419250062388,0.000207339099626474,0.000241577522772603,-1.99592879171427,NA,NA,NA,"6",85478296,"F","I","","IGR","opensea","IGR-opensea","",NA,NA,"","rs9341997","","NO"
"cg25125450",-0.103215435158486,0.700166299984389,-3.74070066141815,0.000208081740440751,0.000242408988933486,-2.00439702369727,0.744195261835213,NA,NA,"22",32601274,"R","I","RFPL2","TSS1500","opensea","TSS1500-opensea","",TRUE,NA,"","","","NO"
"cg10365886",0.110499563218303,0.674138237185106,3.73306017226423,0.000214786177733813,0.000250149690337136,-2.02542722436567,NA,NA,NA,"6",32063874,"F","I","TNXB","Body","island","Body-island","chr6:32063533-32065044",NA,NA,"","rs41270458","","NO"
"cg16590821",-0.1081895409064,0.374159097804232,-3.73336585713437,0.00021398312950287,0.000249249172318317,-2.03235713110815,0.420454157168832,0.312264616262431,-0.108189540906401,"X",118107876,"F","I","LONRF3","TSS1500","island","TSS1500-island","chrX:118107469-118107949",NA,NA,"","","","NO"
"cg00864183",0.0673948913912129,0.134849966945313,3.73231837222784,0.000214907515658651,0.000250256117342121,-2.03480742174766,0.106101097191019,NA,NA,"17",48045973,"R","I","DLX4","TSS1500","island","TSS1500-island","chr17:48045788-48047207",NA,NA,"high-CpG:45400908-45400975","","","NO"
"cg01016553",-0.0945539040468084,0.324965782568124,-3.72927813378876,0.000217374210326701,0.000253093261751813,-2.04716879949788,0.365426057788154,0.270872153741345,-0.0945539040468092,"1",51810627,"F","I","TTC39A","Body","island","Body-island","chr1:51810327-51810687",TRUE,TRUE,"","","","NO"
"cg05353872",-0.100796736736639,0.604427328045079,-3.72200368274223,0.000223596484854585,0.000260301704915719,-2.072826913977,NA,0.546862758113897,NA,"1",248366399,"R","I","OR2M3","1stExon","opensea","1stExon-opensea","",NA,NA,"","","","NO"
"cg07136872",0.0640403408888763,0.144998242871746,3.71613970267319,0.000228619644363314,0.000266112374113296,-2.0946721575792,0.117594934212321,0.181635275101196,0.0640403408888754,"X",124337817,"R","I","","IGR","island","IGR-island","chrX:124337265-124338204",NA,NA,"","","","NO"
"cg26157279",0.0907051496893641,0.242759170057424,3.70688687605638,0.000236865697086421,0.0002756723367874,-2.1280322757767,0.20394580367872,0.294650953368082,0.0907051496893626,"X",83443186,"F","I","RPS6KA6","TSS1500","island","TSS1500-island","chrX:83442396-83443335",TRUE,NA,"high-CpG:83329677-83329938","","","NO"
"cg10978884",0.068018036280766,0.156128131189414,3.68277095131033,0.000259693132362107,0.000302197580129968,-2.21461269001454,0.127022738920436,0.195040775201201,0.068018036280765,"X",109561384,"R","I","AMMECR1","5'UTR","island","5'UTR-island","chrX:109560703-109561534",TRUE,NA,"high-CpG:109447730-109448090","","","NO"
"cg01777017",0.086679247888671,0.263233849207519,3.68106573996784,0.000261452820905267,0.000304202906106212,-2.22004215602536,NA,0.312735983782632,NA,"X",138287603,"F","I","FGF13","TSS1500","island","TSS1500-island","chrX:138285888-138287622",TRUE,NA,"","","","NO"
"cg03983476",-0.0829099825176358,0.228802334615458,-3.67936976674789,0.000263144334523779,0.000306128362430254,-2.22542165361931,0.264169529955149,NA,NA,"2",10830698,"R","I","NOL10","TSS1500","shore","TSS1500-shore","chr2:10829724-10830241",TRUE,NA,"","","","NO"
"cg25889711",-0.0650295367714458,0.167920816950742,-3.65940643377939,0.000283844589421888,0.000330163979397167,-2.29662515023882,0.19566068927982,NA,NA,"10",102473609,"R","I","","IGR","island","IGR-island","chr10:102473206-102474026",TRUE,NA,"","","","NO"
"cg05560435",0.0607700429405822,0.124316597345145,3.64559103183821,0.000298979222577023,0.000347719953418968,-2.3470543346203,0.0983126719938264,0.159082714934408,0.0607700429405814,"5",172671526,"F","I","","IGR","island","IGR-island","chr5:172670829-172671824",NA,TRUE,"","","","NO"
"cg26990102",0.0892889559458982,0.317421324170748,3.63144882688517,0.00031533872582391,0.000366695394701134,-2.39709954999796,0.279213956975295,0.36850291292119,0.0892889559458959,"2",119606746,"R","I","EN1","TSS1500","island","TSS1500-island","chr2:119606569-119606826",NA,NA,"","","","NO"
"cg06719900",-0.0836483396848235,0.312868099873808,-3.63086171534826,0.000316035739492831,0.000367454776301059,-2.39917321186532,0.348661808018012,0.265013468333187,-0.0836483396848252,"11",109292894,"F","I","C11orf87","5'UTR","shore","5'UTR-shore","chr11:109293519-109294983",NA,NA,"high-CpG:108798047-108798387","","","NO"
"cg13453904",-0.102827569522874,0.662950421926124,-3.6227517970176,0.000327527219915871,0.000380604033269882,-2.40274891955588,NA,NA,NA,"10",133484610,"R","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","NO"
"cg07758529",0.0910649256754896,0.292301785937965,3.62977684616781,0.00031732749601835,0.000368905357881617,-2.40300410972143,0.253334468904734,0.344399394580221,0.0910649256754876,"X",103813150,"F","I","IL1RAPL2","5'UTR","shore","5'UTR-shore","chrX:103811550-103812043",NA,NA,"","","","NO"
"cg05823605",-0.0818860902775298,0.213938241674798,-3.62443590398962,0.000323759599138177,0.000376330553944668,-2.42184837008415,0.248977871002858,0.167091780725327,-0.0818860902775307,"7",45928133,"F","I","IGFBP1","1stExon","island","1stExon-island","chr7:45928002-45928585",TRUE,TRUE,"","","","NO"
"cg12361223",0.103170847383827,0.468323775099428,3.6223405164264,0.000326316360039568,0.000379249703919108,-2.42923431798633,0.42417624970728,0.527347097091104,0.103170847383824,"3",147089362,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","","","NO"
"cg19980771",-0.106080515354205,0.716106312655899,-3.59829894356929,0.000363870000142057,0.000422424955695768,-2.44692502851458,NA,NA,NA,"6",110798022,"F","I","SLC22A16","TSS200","island","TSS200-island","chr6:110797297-110798201",NA,NA,"","rs3806971","","NO"
"cg03774803",-0.103001710583584,0.49832947517773,-3.60663782746713,0.000346260208333626,0.000402316798389307,-2.48169377893307,0.542129267995984,NA,NA,"2",198650880,"R","I","BOLL","1stExon","island","1stExon-island","chr2:198649751-198651599",NA,NA,"","","","NO"
"cg04927931",0.104980740670699,0.324504862063415,3.5991614758666,0.000358011070224019,0.000415854349367555,-2.48748644175906,NA,NA,NA,"6",100911701,"F","I","SIM1","TSS200","shore","TSS200-shore","chr6:100912071-100913337",TRUE,TRUE,"","rs80193484","","NO"
"cg15375239",-0.0832916255675727,0.359606880924905,-3.60467852755561,0.00034863331942595,0.000405017765329494,-2.49133050232357,0.395247948609634,0.31195632304206,-0.0832916255675744,"19",38755287,"R","I","SPINT2","5'UTR","island","5'UTR-island","chr19:38754846-38755699",NA,NA,"high-CpG:43447052-43447389","","","NO"
"cg13941374",-0.0520129252811646,0.106105050186371,-3.59694102300607,0.000358854633028071,0.00041677625529216,-2.51844402299741,0.128361743795055,0.0763488185138906,-0.0520129252811649,"1",55007725,"R","I","","IGR","island","IGR-island","chr1:55007704-55008448",NA,NA,"","","","NO"
"cg14804181",-0.121976368414067,0.433030796948168,-3.5943660915686,0.000362318040697438,0.000420740187932499,-2.52745484168684,0.485225335990468,0.363248967576398,-0.12197636841407,"X",149716267,"F","I","","IGR","island","IGR-island","chrX:149716154-149716466",TRUE,TRUE,"","","","NO"
"cg03216846",0.0883392120284217,0.340544830052361,3.59387048127735,0.000362988249610865,0.000421459880090224,-2.52918850239923,0.302743864905316,0.391083076933737,0.0883392120284202,"1",119543883,"F","I","","IGR","island","IGR-island","chr1:119543821-119544339",NA,TRUE,"","","","NO"
"cg25644556",0.0760295919171708,0.222087567411413,3.58147427018887,0.000380226324289966,0.000441290735359596,-2.57178307512069,NA,0.265507730627512,NA,"7",27209582,"R","I","MIR196B","TSS1500","island","TSS1500-island","chr7:27208871-27209616",TRUE,NA,"","","","NO"
"cg09342610",0.0708363255511956,0.163193498802377,3.58154693079273,0.000380032094985549,0.000441126597402984,-2.57222421192664,0.132882140892099,0.203718466443293,0.0708363255511945,"X",135333415,"F","I","MAP7D3","Body","island","Body-island","chrX:135332893-135333726",TRUE,NA,"","","","NO"
"cg25287257",0.0858286922377943,0.23438523241561,3.58079789813935,0.000381183570545972,0.000442340262306021,-2.57345442507756,0.197772993069419,NA,NA,"7",156798258,"R","I","MNX1","Body","island","Body-island","chr7:156795355-156799394",TRUE,NA,"","","","NO"
"cg15133351",-0.107207366577178,0.618755095237805,-3.56451123384492,0.000409408293049673,0.000474631817948511,-2.58666721599594,NA,NA,NA,"2",176948732,"F","I","EVX2","TSS200","shore","TSS200-shore","chr2:176949511-176949795",NA,NA,"","","","NO"
"cg19403104",-0.0563142518001434,0.101015094168839,-3.57679947692012,0.000386796024552906,0.000448790831821524,-2.58876585552036,0.125112355404249,0.0687981036041056,-0.0563142518001438,"19",50031246,"R","I","RCN3","1stExon","island","1stExon-island","chr19:50030981-50031300",NA,TRUE,"high-CpG:54723044-54723093","","rs62128088","NO"
"cg21063722",0.106183079759486,0.324374452645791,3.56133287021,0.000414967553035872,0.000480943248898679,-2.59234266256028,NA,NA,NA,"6",100911709,"F","I","SIM1","TSS200","shore","TSS200-shore","chr6:100912071-100913337",TRUE,TRUE,"","","rs80193484","NO"
"cg19003797",0.0712273960421811,0.203873542993744,3.5711546456002,0.000394985388074301,0.00045822912539546,-2.60840732158799,0.173394843291974,0.244622239334154,0.0712273960421801,"6",137819267,"F","I","","IGR","island","IGR-island","chr6:137818167-137819372",NA,NA,"","","","NO"
"cg25755428",-0.101313055655131,0.343231684445086,-3.56896103662205,0.000398211455743662,0.000461907595290552,-2.61603219702653,0.386584247795189,0.285271192140057,-0.101313055655132,"19",13875111,"R","I","MRI1","TSS1500","island","TSS1500-island","chr19:13875044-13875951",NA,NA,"","","rs36203614","NO"
"cg01533115",0.0684578323155879,0.157677387079804,3.56698831270961,0.000401133755860629,0.000465232735868346,-2.62288551299819,0.128383803019181,0.196841635334768,0.0684578323155868,"X",48911192,"R","I","","IGR","island","IGR-island","chrX:48910926-48911514",TRUE,NA,"","","","NO"
"cg07823797",0.053867659280958,0.129315671292166,3.56297592855388,0.000407139648336134,0.000472132790421997,-2.63681365582852,0.106265324064966,0.160132983345923,0.053867659280957,"X",73513418,"R","I","NCRNA00182","TSS200","shore","TSS200-shore","chrX:73512193-73512569",TRUE,NA,"","","","NO"
"cg10344081",-0.0742674885744649,0.272745572520576,-3.56148278272747,0.000409396087837853,0.000474631817948511,-2.64199302005501,0.30452514902686,0.230257660452393,-0.0742674885744661,"4",76555777,"F","I","CDKL2","TSS200","island","TSS200-island","chr4:76555366-76556079",TRUE,TRUE,"","","","NO"
"cg16877924",-0.0991221783651776,0.434851456884394,-3.55996989185078,0.000411791301422895,0.000477328227013579,-2.64653980385611,NA,0.378243219822694,NA,"2",73429354,"F","I","NOTO","TSS200","island","TSS200-island","chr2:73429283-73430647",NA,TRUE,"","","","NO"
"cg23620052",-0.0893076559251325,0.319677451256022,-3.55440754935934,0.000420346861121401,0.000487110234125147,-2.66580731845708,NA,0.268674244492251,NA,"1",115212949,"F","I","DENND2C","TSS1500","island","TSS1500-island","chr1:115212239-115212985",NA,NA,"","rs79147513","","NO"
"cg11891579",0.0918064261663345,0.279472152427835,3.53590086220434,0.000449923212027786,0.000521311860371724,-2.73041227572901,0.240187542161311,0.331993968327644,0.0918064261663333,"5",158478533,"F","I","EBF1","Body","island","Body-island","chr5:158478378-158478630",NA,TRUE,"","","","NO"
"cg14355619",-0.0590631405775089,0.132888286120457,-3.53437515554878,0.000452559031818051,0.000524293184275136,-2.73427587606372,0.158083052380793,NA,NA,"19",1672539,"F","I","","IGR","island","IGR-island","chr19:1671995-1672574",NA,NA,"","","","NO"
"cg08892705",0.0752671122958663,0.268196461800065,3.53157134538905,0.000457143160259963,0.000529530499280606,-2.74531692354492,0.235989139329276,0.311256251625141,0.0752671122958651,"15",99646202,"R","I","SYNM","1stExon","island","1stExon-island","chr15:99645030-99646444",NA,TRUE,"","","","NO"
"cg20824761",0.0484068071369564,0.0826382767530499,3.52747627089319,0.000464390511377574,0.000537850870934182,-2.75590424048273,NA,NA,NA,"15",69591567,"R","I","PAQR5","5'UTR","island","5'UTR-island","chr15:69591246-69591754",TRUE,NA,"","","","NO"
"cg18608369",0.0678269946520036,0.174388836002821,3.52653808112294,0.000465673015893482,0.000539261488047429,-2.76262259001914,0.145365191779638,0.213192186431641,0.0678269946520026,"17",33700759,"R","I","SLFN11","TSS200","island","TSS200-island","chr17:33700487-33700760",TRUE,TRUE,"","","","NO"
"cg19603571",-0.0920230600232604,0.321956259949484,-3.52344294689992,0.000471531407723548,0.000545969976454957,-2.76834247371113,NA,NA,NA,"X",103500137,"R","I","ESX1","TSS1500","shore","TSS1500-shore","chrX:103498706-103499843",NA,TRUE,"","","","NO"
"cg06976202",0.0863357624208659,0.315544400700507,3.51972092828181,0.000477463763993012,0.000552762234534039,-2.78602455492466,0.278600725618091,0.364936488038955,0.086335762420864,"22",50920021,"F","I","ADM2","5'UTR","island","5'UTR-island","chr22:50919453-50920376",TRUE,NA,"high-CpG:49266836-49266896","","","NO"
"cg04828704",-0.083225371257764,0.315950095074406,-3.51543179081119,0.000485024725544352,0.000561437793708953,-2.80072640794135,0.351562812077729,0.268337440819963,-0.0832253712577655,"X",107070200,"F","II","MID2","Body","island","Body-island","chrX:107069308-107070201",NA,TRUE,"","","rs66939798","NO"
"cg04584301",0.081632776717375,0.242405839182253,3.51387687912014,0.00048790287430754,0.000564691134935604,-2.80465711932781,0.207583465897219,NA,NA,"20",17208740,"F","I","PCSK2","Body","island","Body-island","chr20:17208550-17208756",NA,NA,"","","","NO"
"cg17547524",-0.0879214133105796,0.29348926515,-3.5116162674727,0.000491955033862601,0.000569302168290369,-2.81308178117585,NA,0.243277735403863,NA,"X",117629324,"R","I","DOCK11","TSS1500","island","TSS1500-island","chrX:117629130-117629377",TRUE,NA,"","","","NO"
"cg19391276",0.0864522496046025,0.318028558654886,3.51059378238299,0.000493687663670097,0.000571228080650968,-2.81728929415016,0.281035037893848,0.367487287498448,0.0864522496046001,"6",100055785,"F","I","PRDM13","Body","island","Body-island","chr6:100055641-100055866",NA,TRUE,"","rs330840","","NO"
"cg03400443",-0.0807882153756557,0.26278325459028,-3.50699500104486,0.000500336860384008,0.000578841452935605,-2.82819946874096,0.297245360449826,NA,NA,"2",74347616,"F","I","","IGR","island","IGR-island","chr2:74347273-74347777",NA,NA,"high-CpG:74200956-74201324","rs56095668","","NO"
"cg11413039",0.0665358028158014,0.17465757072483,3.50500960952419,0.000503978738197797,0.000582974020895098,-2.83498322696838,0.146275165327881,NA,NA,"11",125774447,"R","I","PUS3","TSS1500","island","TSS1500-island","chr11:125774292-125774584",NA,NA,"","","","NO"
"cg21104965",-0.0895928251364239,0.364556350070197,-3.49885700791097,0.000515308866071708,0.000595997544948505,-2.85738046681737,0.402893745012295,0.31330091987587,-0.0895928251364256,"6",117869453,"F","I","DCBLD1","Body","island","Body-island","chr6:117869097-117869530",NA,TRUE,"","rs210621","","NO"
"cg18015035",0.0773938229310346,0.189876101830553,3.49817036078102,0.000516600819841305,0.000597409087618253,-2.85972202733932,0.15675874504146,0.234152567972493,0.0773938229310333,"X",19002577,"F","I","PHKA2","TSS200","island","TSS200-island","chrX:19002003-19003244",NA,NA,"high-CpG:18912347-18913029","","","NO"
"cg17741501",-0.0727074424669976,0.171944674891513,-3.49510977445377,0.000522396365930934,0.0006040275766072,-2.87015376043766,0.203056696784368,0.13034925431737,-0.0727074424669986,"15",29077493,"R","I","","IGR","island","IGR-island","chr15:29077251-29077684",TRUE,NA,"high-CpG:26876480-26876558","","","NO"
"cg03415617",0.0886728066368041,0.694899983321263,3.48698712693479,0.00053807363960902,0.000622068528272039,-2.89779721082276,0.656956270713887,0.745629077350688,0.0886728066368012,"16",34726856,"F","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","NO"
"cg17553149",0.103072036590805,0.497552161316069,3.47472619722362,0.000564847826379822,0.000652841552514809,-2.91926458484615,NA,NA,NA,"6",27483069,"F","I","","IGR","island","IGR-island","chr6:27482888-27483089",NA,NA,"","rs80099637","","NO"
"cg13569417",0.0633851255528992,0.156034266183519,3.47609637684728,0.000559784463343139,0.000647078927185358,-2.93476576087133,0.128911328737628,0.192296454290526,0.0633851255528982,"X",123094304,"F","I","STAG2","TSS1500","island","TSS1500-island","chrX:123093923-123094582",NA,NA,"","","","NO"
"cg15160198",-0.0846974195399597,0.259527683808903,-3.47284024605352,0.000566432895623533,0.000654582986587217,-2.94579742286804,0.295770300542281,0.211072881002321,-0.0846974195399607,"8",65711369,"F","I","CYP7B1","TSS200","island","TSS200-island","chr8:65710990-65711722",TRUE,NA,"high-CpG:65873535-65874009","","","NO"
"cg24932289",-0.081640904286959,0.200815059739945,-3.46896173637909,0.000575706127649611,0.000665115335414859,-2.94962713069465,NA,NA,NA,"X",40036253,"F","I","BCOR","5'UTR","island","5'UTR-island","chrX:40036252-40036508",TRUE,NA,"","","","NO"
"cg24720583",-0.0943355809074563,0.300970604798276,-3.47064414197286,0.000571327971395,0.000660148530156823,-2.95039702788345,NA,NA,NA,"17",6926194,"F","I","BCL6B","TSS200","island","TSS200-island","chr17:6925400-6927527",NA,NA,"","rs62063347","","NO"
"cg07517893",-0.060556894489993,0.130868538283178,-3.46363369154771,0.000585757240753134,0.000676633848071306,-2.97621776766762,NA,0.0962847640406408,NA,"19",45889164,"R","I","PPP1R13L","Body","island","Body-island","chr19:45888768-45889465",NA,TRUE,"","","","NO"
"cg07115542",0.0563435444246811,0.104439459217711,3.46241089605213,0.000588227753481404,0.000679393702831971,-2.98106586129114,0.0803296634638947,0.136673207888575,0.0563435444246805,"14",36988443,"F","I","NKX2-1","Body","island","Body-island","chr14:36986362-36990576",NA,NA,"","","","NO"
"cg22994198",-0.100537789985352,0.389999199024047,-3.46058809703432,0.000592242238055981,0.000683935810992489,-2.98650082716039,NA,0.332582512435674,NA,"19",1508528,"R","I","ADAMTSL5","Body","shore","Body-shore","chr19:1510493-1510725",NA,NA,"","","","NO"
"cg27166673",0.065898846270161,0.17652379167845,3.45866214023257,0.000596504719842962,0.00068876301721743,-2.99159685936605,NA,NA,NA,"X",11683995,"R","I","ARHGAP6","TSS200","island","TSS200-island","chrX:11682333-11684544",TRUE,NA,"","","","NO"
"cg10188823",-0.0730549366883597,0.151891223173404,-3.42288955604919,0.000678128200187555,0.000782902568320458,-3.11380176610058,0.183151940267958,0.110097003579598,-0.0730549366883601,"22",29876206,"F","I","NEFH","5'UTR","island","5'UTR-island","chr22:29875919-29877242",NA,NA,"high-CpG:28206203-28206209","","","NO"
"cg13696942",-0.0778064200482958,0.230776657791264,-3.42103944445525,0.00068277465484717,0.000788158002845551,-3.11925393894302,NA,0.186341755898879,NA,"11",20180666,"R","I","DBX1","Body","shore","Body-shore","chr11:20181200-20182325",TRUE,NA,"","","","NO"
"cg21239227",-0.10633030536242,0.437737459642813,-3.4181322520682,0.000690769355662529,0.000797276484830722,-3.12180501858062,NA,NA,NA,"2",2111623,"F","I","MYT1L","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","","","NO"
"cg13380624",-0.0607024201775379,0.153617791975985,-3.4090875602924,0.000712577305420678,0.000822333307015381,-3.15840183761616,0.179511831352418,NA,NA,"19",7735426,"R","I","","IGR","island","IGR-island","chr19:7735081-7735456",NA,NA,"","","","NO"
"cg10622019",-0.0682049364166586,0.785496201934476,-3.39844149908554,0.000739993673760416,0.000853854578811397,-3.19518974560027,0.81468157007556,0.746476633658897,-0.0682049364166624,"1",4221485,"R","I","","IGR","island","IGR-island","chr1:4221387-4221672",NA,NA,"","","","NO"
"cg23091104",0.139930036425972,0.600071164032896,3.39731221963499,0.000742974631524033,0.000857175814355997,-3.1989357692021,0.540194125190156,0.680124161616125,0.139930036425969,"X",109246341,"R","I","TMEM164","1stExon","island","1stExon-island","chrX:109245900-109246673",NA,NA,"high-CpG:109132994-109133016","","","NO"
"cg03718079",-0.0829114819596615,0.276944880667274,-3.39438119519805,0.000750763952221245,0.000866042813705645,-3.20865299631028,0.312423282250014,0.229511800290351,-0.0829114819596627,"X",149716257,"F","I","","IGR","island","IGR-island","chrX:149716154-149716466",TRUE,TRUE,"","","","NO"
"cg23402821",-0.0424480725319097,0.0944026476693327,-3.37635226778278,0.000800374869001759,0.000923143953560775,-3.26824930680762,0.11256647405508,0.0701184015231703,-0.0424480725319101,"17",35292159,"F","I","","IGR","island","IGR-island","chr17:35291899-35300875",NA,TRUE,"","","","NO"
"cg00016934",0.0804951365353183,0.179379648073831,3.37394283105006,0.000807387909765251,0.000931104168716028,-3.27545639672292,NA,0.225350064043884,NA,"X",40035961,"F","I","BCOR","5'UTR","island","5'UTR-island","chrX:40034239-40036007",TRUE,NA,"high-CpG:39920835-39921017","","","NO"
"cg19082708",-0.0771745873595285,0.233106100336816,-3.37074622236201,0.000816412898555214,0.000941382105525225,-3.28671922875516,0.266129644695312,0.188955057335782,-0.0771745873595297,"7",64349557,"R","I","","IGR","island","IGR-island","chr7:64349424-64350151",NA,TRUE,"","","","NO"
"cg24124443",-0.0718392801529357,0.184718537097577,-3.36413753343805,0.000835703451712136,0.0009634924973231,-3.30845508702994,0.215459066279299,0.143619786126363,-0.0718392801529363,"12",107711648,"R","I","BTBD11","TSS1500","island","TSS1500-island","chr12:107711603-107714107",NA,NA,"","","","NO"
"cg13933262",-0.0847678261914192,0.395715594354389,-3.36155964151403,0.000843342608112613,0.000972165606205708,-3.31692274739182,0.431988338585137,0.347220512393716,-0.0847678261914213,"5",140797172,"R","I","PCDHGA4","Body","island","Body-island","chr5:140797162-140797701",TRUE,NA,"","","","NO"
"cg03730428",-0.0568651269870608,0.14172198939222,-3.35931397341092,0.000850050189261519,0.000979762593969472,-3.32429412170022,0.166054973963428,0.109189846976367,-0.0568651269870614,"11",32009004,"F","I","","IGR","island","IGR-island","chr11:32008802-32009044",NA,NA,"","","","NO"
"cg03690837",-0.0541436272559419,0.0967485059565815,-3.35057234014195,0.000876636161648503,0.0010102660359238,-3.35294386468693,0.119916941805636,0.0657733145496936,-0.0541436272559423,"21",40177165,"F","I","ETS2","TSS1500","island","TSS1500-island","chr21:40177002-40178667",NA,NA,"","","","NO"
"cg02220418",-0.0754363065525432,0.820711076305638,-3.3490670150846,0.000881291654420645,0.00101549110083173,-3.35787024675286,0.852990798179286,0.777554491626739,-0.0754363065525469,"10",130831421,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","NO"
"cg26655004",0.0927152591283725,0.433363507379881,3.34814357909522,0.000884325398732536,0.00101856533586262,-3.359465437786,0.393813641597849,NA,NA,"13",114302328,"F","I","","IGR","island","IGR-island","chr13:114302311-114302519",TRUE,NA,"","","rs12875677","NO"
"cg21604054",-0.0876062379343624,0.357158033222495,-3.34855775098988,0.000882871846147098,0.00101717161808204,-3.35953640712339,0.394645353640921,0.307039115706556,-0.0876062379343644,"X",131156970,"F","I","MST4","TSS1500","island","TSS1500-island","chrX:131156818-131157775",TRUE,NA,"","","","NO"
"cg02401454",0.0707303547291896,0.234954211463543,3.34835790008701,0.000883492681806399,0.00101774653389557,-3.3601901939732,0.204688199207333,0.275418553936521,0.0707303547291881,"16",230343,"R","I","HBQ1","1stExon","island","1stExon-island","chr16:230301-231761",NA,TRUE,"","","","NO"
"cg21139150",-0.0795460419410848,0.259163598210293,-3.34667468175176,0.000888737726940708,0.0010235063373122,-3.36569515831159,0.29320190452927,0.213655862588184,-0.0795460419410858,"21",46976175,"F","I","","IGR","island","IGR-island","chr21:46975415-46976341",NA,NA,"","rs8127385","","NO"
"cg17200161",0.0585565751431086,0.114129642442933,3.34151770529699,0.000904988140732544,0.00104207731601374,-3.38254467690555,0.0890728754049519,0.14762945054806,0.058556575143108,"6",39197233,"F","I","KCNK5","1stExon","island","1stExon-island","chr6:39196817-39197517",TRUE,NA,"","","","NO"
"cg13481969",-0.0822426751933203,0.383353121515554,-3.32331876962725,0.000964924487651653,0.00111093979738725,-3.4389374122871,0.418325474051032,NA,NA,"9",99449345,"R","I","","IGR","island","IGR-island","chr9:99449110-99449578",TRUE,NA,"","","","NO"
"cg13621679",-0.0574509583411043,0.166156182827729,-3.32200231961511,0.00096901847331217,0.00111549956263606,-3.44608426228531,0.190739848722527,0.133288890381422,-0.057450958341105,"17",37761692,"F","I","NEUROD2","3'UTR","island","3'UTR-island","chr17:37761691-37763551",NA,NA,"","rs80186804","","NO"
"cg22976224",0.0727630465941949,0.211799516979361,3.31159408334458,0.00100486546553505,0.00115660596570402,-3.47982747729084,0.180663701692543,0.253426748286737,0.0727630465941935,"21",38070639,"F","I","SIM2","TSS1500","island","TSS1500-island","chr21:38068193-38073891",NA,NA,"","","","NO"
